city,region,department,policy_id,title
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,D36F6A8D3E613FC22FD53948187D45C2,中学小学教科书出版资质的初审
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,98F1544B36D40339DF6BD34188AA4784,从事音像制品制作业务审批
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,E17FA2E133789F4D51DB2F637D64A35A,进口出版物目录备案核准
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,0CB9D30320275E221FD8C9E39766B33E,期刊、报纸、连续型电子出版物变更刊期和报纸增期、变更开版审批
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,3300E662BE8A8A4621E42F30AAAA9131,加工贸易项下光盘进出口审批
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,5251D0E491D5852041C79D22418CEC55,从事出版物发行业务审批（含通过互联网等信息网络方式）
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,80FC72BAE11D463C0D91AEACCAFB4A66,出版境外著作权人授权的电子出版物（含互联网游戏作品）的初审
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,9A47A3AE738A0D44EB0DD6983B0D861A,出版国产网络游戏作品的初审
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,F6012F86AC11E300EF9842AEA2907D15,内部资料性出版物准印证核发
福建省,福建省,省委宣传部（省新闻出版局  省电影局）,C796A5B5F5B5A2974558D1AA159FDAD6,图书期刊印刷委托书备案
福建省,福建省,省网信办,6466EFC7C1FC015D5505BBD047CFCC19,对互联网新闻信息服务提供者不按规定转载新闻信息的处罚
福建省,福建省,省网信办,0488D1046AD8D8DD33B0AE2336FD0D4A,对互联网新闻信息服务提供者不予配合国家和地方互联网信息办公室依法实施的监督检查的处罚
福建省,福建省,省网信办,AFB64EB7C15989FFF57B3989FC6EF9BC,对网络预约出租汽车服务平台发布法律法规禁止传播的信息的处罚
福建省,福建省,省网信办,62C44C46719AF597CD0B6C86DE0F94B9,对违法违规开展网络安全活动的监督管理和处罚
福建省,福建省,省网信办,E503B8A1D471E39F8299DCABEB6B057B,对网络运营者不履行网络安全保护义务的监督管理和处罚
福建省,福建省,省网信办,E8C965AF648B0DEABB7292ED7527E616,对互联网新闻信息服务提供者未与注册用户签订协议和未按规定对公众账号信息进行审核备案的处罚
福建省,福建省,省网信办,71C710F21453B880EBA5BA7B273F24F5,对网络运营者对法律、行政法规禁止发布或者传输的信息未停止传输、采取消除等处置措施、保存有关记录的处罚
福建省,福建省,省网信办,1FEA72DAE0C4F1A93CDBF091D0DC9A13,对互联网新闻信息服务提供者未按规定向原许可机关办理变更手续的处罚
福建省,福建省,省网信办,73B1DE949955C6A8F136D594FADC3FBB,对关键信息基础设施运营者不履行网络安全保护义务的监督管理和处罚
福建省,福建省,省网信办,8614473588FDF028F669EF36C5C6EAAF,对互联网新闻信息服务提供者和用户制作、复制、发布、传播法律、行政法规禁止的信息内容的处罚
福建省,福建省,省档案局,770472614246A409E053E20C010A1F6E,损毁、丢失、涂改、伪造、倒卖、赠送档案等的处罚（含4个子项）
福建省,福建省,省档案局,BE70463AC482522DB139E574DBFA5552,本行政区域内机关、团体、企事业单位和其他组织的档案工作监督
福建省,福建省,省档案局,37CC26EE360D60150364300EC1E9AE64,贯彻实施档案法规的监督检查
福建省,福建省,省档案局,7D82DBA9B5DD98C37F85D5FB3849FF17,资产与产权变动的省属国有企业销毁档案备案
福建省,福建省,省档案局,E6443C29937FFA1E5FD00E01E1E7CF7E,省重点建设工程档案的专项验收
福建省,福建省,省档案局,310FFDD42C9ACC46944428672114F752,利用档案馆保存的未开放档案的审查
福建省,福建省,省档案局,935EE896F43E6595F0F16A75451A2C3C,公民、法人或者其他组织开展档案服务的范围的核定
福建省,福建省,省档案局,D53FCE116CA3E373FBC592EFE1750B5B,机关、团体、企业、事业单位和其他组织档案管理情况登记以及重大活动、重要会议建档情况登记
福建省,福建省,省档案局,9888779837CFF931FAA3FF5031EAF9B7,重点建设项目和重大科研项目档案保管情况登记以及竣工验收和成果鉴定档案的备案
福建省,福建省,省档案局,75E691A7261CCF2C5CF0E2EAFD395742,对重大活动事项的认定
福建省,福建省,省保密局,BADC1887C96A2B2D4B6E8EFA96BE57FA,涉及国家秘密的计算机信息系统集成单位乙级保密资质审批
福建省,福建省,省保密局,096E23305EDA8CE07766E314943BB538,武器装备科研生产单位保密资格认定（二级、三级）
福建省,福建省,省保密局,7C2872B3097F419C2F014131D553E856,国家秘密载体印制单位乙级保密资质审批
福建省,福建省,省发改委,B5CD67F914A0C679E31924288730314A,省级工程研究中心（工程实验室）、经济动员中心的审批
福建省,福建省,省发改委,456E25E658BE9391955D9E794296845A,组织拟订全省国民经济和社会发展中长期规划，指导省直部门和地方中长期规划编制，组织对国民经济和社会发展中长期规划进行监测与评估
福建省,福建省,省发改委,907AC36BDC6ECFCDFE3FB05B3ECDC1FD,参与协调全省工业发展的重大问题，提出并组织协调跨地区、跨部门、跨行业以及需要省里综合平衡的重大产业布局和重点区域产业发展；推进重大工业项目前期工作
福建省,福建省,省发改委,0B40896D8CBB09AE317F2760C0B22D36,负责组织各类保障预案编制和修订，负责国民经济动员潜力专项统计调查，负责全省经济动员信息化建设
福建省,福建省,省发改委,D92C1E622549AC9E830F7C23A9C421AC,负责全省公共信息资源综合管理和开发利用
福建省,福建省,省发改委,613AA107C55D0F29C0738284F2B927D1,统筹协调全省经济社会发展重大专项规划和区域规划
福建省,福建省,省发改委,4B4E269D24B13CBBAA665D84584AC699,协调推进核电项目前期和建设工作
福建省,福建省,省发改委,D3CE2EBEA9DC201A9B418B73E3B5A6EB,对省重大建设项目招标投标活动监督执法和违法行为处罚（含19个子项）
福建省,福建省,省发改委,04179500DEA982212F16F0703BCAECC9,组织拟定全省主体功能区规划，对实施情况进行监测与评估
福建省,福建省,省发改委,A9EDCD509E107E5AF4F3C1F405AF8534,协调做好全省铁路运输安全管理工作，参与安全事故调查及抢险救灾的组织工作
福建省,福建省,省教育厅,27971E0A695EAC7A1DAF69C8504F3C63,外籍人员子女学校法定代表人、校长等信息变更备案
福建省,福建省,省教育厅,D29657E5377824903C1D5E8C734569A5,地方政府举办的高校章程核准
福建省,福建省,省教育厅,78ABF14E5F5B81793D8A49B8019DACBA,增列硕士学位授权点审核
福建省,福建省,省教育厅,2B4234B3A7E315E425FD0EC82409A8CC,对开办外籍人员子女学校的审批
福建省,福建省,省教育厅,83FB3349BD0069617FE90CFF752AD15F,高校教师资格证书补发、换发
福建省,福建省,省教育厅,FA06C930633178168440FB88EF9042A6,普通高校港澳台预科生转为本科生的备案
福建省,福建省,省教育厅,393C832654AFB177BA863FE7F0EFAF5B,民办高等教育机构年度检查的初审
福建省,福建省,省教育厅,FE90C18735D6BAE9E842681551B394D1,对外国教育机构与中国教育机构在省内合作举办实施本科以上高等学历教育中外合作办学机构和项目的审核
