:START_ID,:END_ID,:type,article_id,od
福建省,中小企业,在,"1,2,3,4,5,8,14,18,22,29,33,73,76,83,130,282,298,355,372,373,378,391,419,442,461,468,469,472,485,487,514,522,531,533,535,548,639,737,750,789,816,822,823,828,849,888,898"
中小企业,公共服务平台,在,"1,2,27,33,130,282,472,485,503,726,789,828"
中小企业,平潭综合实验区,在,2
福建省,工业和信息化厅,在,"2,4,5,6,7,8,9,10,11,12,14,15,163,316,317,323,328,330,332,333,334,335,336,337,338,340,342,343,344,351,355,360,366,373,375,377,383,388,389,397,406,415,418,420,426,428,434,444,445,451,452,454,456,457,460,463,464,465,466,467,468,469,470,472,473,474,476,477,484,485,489,490,494,505,507,508,516,518,519,520,523,529,530,531,533,536,546,551,560,567,570,571,572,574,577,598,607,614,617,621,628,633,639,640,641,646,648,649,650,651,662,680,707,716,725,726,740,749,750,760,773,774,775,786,789,792,795,796,799,802,817,828,832,841,842,843,851,854,855"
习近平,民营（中小）企业,在,"2,828"
民营（中小）企业,中小企业,在,2
省委,省政府,在,"2,24,31,46,58,80,116,145,173,222,236,239,240,256,258,267,275,277,282,288,291,318,357,418,446,458,460,475,478,490,506,523,528,529,536,551,554,556,557,558,560,566,570,572,577,578,585,586,589,590,594,596,597,599,606,657,673,679,680,726,733,742,743,752,756,757,765,780,790,791,817,824,828,849,854,855,860,862,872,879,885,892,902,903"
省政府,中小企业,在,"2,148,282,348,527,828,849"
中小企业,民营企业,在,"2,273,726,817"
民营企业,政策宣贯工作,在,2
政策宣贯工作,惠企政策入百园进万企,在,2
惠企政策入百园进万企,培训,在,2
国有企业,民营企业,在,"2,273,478,531,687,809,838"
民营企业,中小企业,在,"2,273,418,531,606,809,817"
中小企业,账款,在,"2,282,378,469,503,531,536,540,585,809,828"
民营（中小）企业,生产经营,在,"2,828"
生产经营,发展法规政策体系,在,"2,828"
产融合作工作协调机制作用，组织举办“政基企”、“政银企,融资,在,2
融资,金融机构,在,"2,26,469,838"
金融,中小企业,在,"2,73,282,468,472,527,789"
账款,融资,在,"2,4,282,298,314,315,458,469,503,540,585,726,790,828,908"
福州,厦门火炬高新区,在,"2,237,828"
厦门火炬高新区,乐经开区,在,"2,828"
乐经开区,闽北经开区,在,"2,828"
闽北经开区,双创,在,"2,828"
公共服务平台,示范基地,在,"2,828"
示范基地,中小微企业,在,"2,828"
中小微企业,服务券试点工作,在,"2,828"
民营企业,三个一百”活动，深化全系统“百千万,在,2
进口税收政策,进口税收政策，加强政府采购,在,2
进口税收政策，加强政府采购,中小企业,在,2
中小企业,落实情况,在,2
省级财政,创新券资金,在,2
创新券资金,生产力,在,2
金融,专利权,在,2
专利权,贴息政策,在,2
贴息政策,中小微企业,在,2
中小微企业,贷款,在,"2,273,280,536,560,585,839"
普惠金融发展资金,融资,在,2
融资,担保资金政策,在,2
担保资金政策,小微农,在,2
小微农,融资,在,2
省商务厅,电子商务进农村综合示范创建和现代供应链体系建设等工作，发挥财政资金,在,2
企业债券,贴息政策,在,2
贴息政策,贴息政策，推动符合条件的企业发债,在,2
贴息政策，推动符合条件的企业发债,融资,在,2
企业债券,风险,在,2
风险,风险应急处置预,在,2
基金,信用体系,在,2
双创,双创”政策措施,在,2
双创”政策措施,双创,在,2
福州,泉州,在,"2,50,94,237,277,299,307,308,406,468,543,554,632,639,761,773,783,820,838,842,847,872,892"
民间资本,充实吸引民间投资重点项目库，常态化向民间资本,在,2
充实吸引民间投资重点项目库，常态化向民间资本,重点领域,在,2
加普惠性学前教育、健康、养老等服务供给，鼓励民间资本,能源,在,2
市场准入,非禁即入,在,"2,761"
市场准入,全国一张清单,在,2
高职院校,二级办学机构,在,2
二级办学机构,人才,在,2
省发改委,职业院校,在,2
职业院校,产教融合,在,"2,271,413"
二元制,人才,在,"2,271,275,413,728"
福建省,互联网+”大学生创新创业大赛等平台作用，发掘和培育一批“双创,在,2
职业教育,公共实训基地,在,"2,271"
公共实训基地,中小企业,在,2
中小企业,技能竞赛,在,2
职业院校,互联网+,在,2
互联网+,培训,在,"2,313,833"
中小企业,科技小巨人领军企业,在,2
科技小巨人领军企业,高新技术企业,在,"2,590,596,843,846"
高新技术企业,梯级培育机制,在,2
梯级培育机制,高新技术企业,在,2
大赛,创新创业大赛，打造大众创业、万众创新,在,2
金融,中小微企业,在,2
中小企业,培训,在,"2,30,73,83,833"
培训,中小企业,在,"2,275,833"
中小企业,中小企业与技工院校,在,2
中小企业与技工院校,培训,在,2
新增建设用地,土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目,在,2
土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目,土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目，可不进行建设项目用地,在,2
环评,审批,在,"2,694,761,892"
审批,土地出让合同,在,2
土地出让合同,环评,在,2
减证便民,审批,在,2
环评,中介市场,在,2
一刀切,执法,在,2
一城一策,房价,在,2
房地产,民营住房租赁企业、物业服务企业,在,2
中小企业,农产品,在,2
农产品,加工副产物综合利用典型,在,2
乡村,旅游,在,"2,297,503,836"
乡村,农业精品园区,在,2
农业精品园区,农庄,在,2
农庄,和省级休闲农业示范点,在,2
和省级休闲农业示范点,乡村,在,2
旅游,乡村,在,"2,836,862"
培训,创业创新,在,"2,833"
创业创新,人才,在,2
福建省,创业创新,在,"2,5"
助保贷,银行,在,2
银行,合作协议,在,2
合作协议,金融机构,在,2
金融机构,中小企业,在,"2,469,503"
中小企业,融资,在,"2,73,83,138,282,298,503,820,906"
服务贸易,国际市场,在,2
海外分支机构,国际认证,在,2
国际认证,一带一路,在,2
一带一路,服务贸易,在,2
电子商务,数字化,在,2
数字化,数字化、网络化、智能化,在,"2,299,308,684,904"
民营企业,知识产权质押,在,"2,824"
知识产权质押,融资,在,"2,314,315,824"
银行,知识产权,在,2
知识产权,信贷,在,"2,824"
信贷,专利权,在,"2,824"
专利权,知识产权,在,"2,755,824"
