id,para,entity,label
2,福建省促进中小企业发展工作领导小组各成员单位，各设区市工信局、平潭综合实验区经发局：,福建省|中小企业,-1
2,福建省促进中小企业发展工作领导小组办公室,福建省|中小企业,-1
2,（福建省工业和信息化厅,福建省工业|信息,-1
2,组织开展典型企业管理经验分享推广、企业高级经营管理人才培训和企业管理咨询诊断活动，促进企业管理提升,典型企业|人才,-1
2,安排科技计划项目经费，支持提升科研实力,科技|项目,-1
2,（一）拓宽企业融资渠道,拓宽企业|渠道,-1
2,落实企业债券贴息政策，推动符合条件的企业发债融资,企业债券|政策,-1
2,加大重大项目融资对接力度,项目|力度,-1
2,（二）打造“双创”平台,双创|平台,-1
2,继续办好“创响中国”、双创活动周等系列主题活动，促进双创要素精准对接,创响中国|双创,-1
2,持续推进科技小巨人领军企业培育,科技|巨人领军企业,-1
2,（二）加强平台和载体建设,平台|载体,-1
2,升级更新福建省企业环境信用评价系统，落实企业环境信用动态评价工作,福建省企业环境信用评价系统|动态,-1
2,福建省物业管理条例（修订）,福建省|条例,-1
2,（一）促进农产品加工业提升,农产品|工业,-1
2,（二）推动休闲农业和乡村旅游升级,农业|乡村,-1
2,，加大培训力度，促进电子商务持续健康发展,力度|电子商务,-1
2,（二）扩大民营企业知识产权质押融资覆盖面,民营企业知识产权|覆盖面,-1
2,（三）实施专利导航产业发展创新计划,专利|产业,-1
2,（四）加强知识产权服务平台建设,知识产权|平台,-1
2,深入推进知识产权诚信建设工作，探索建立知识产权信用信息等级分类标准,知识产权信用信息|标准,-1
2,做好福建产品海外展示中心的工作,福建产品|中心,-1
2,提供预警快报等经贸摩擦预警信息服务,经贸|信息,-1
2,创新经贸摩擦应对方式，探索规避经贸摩擦新手段,经贸|方式,-1
2,开展各类活动，宣传展示我省民营经济和民营企业家的贡献,经济|民营企业,-1
2,一是创新方式方法提升调研能力水平,方式|能力水平,-1
2,联合省高院、省检察院、仲裁部门加强诉调衔接、法治宣传教育和仲裁法律服务，强化民营企业法治保障,部门|民营企业,-1
2,三是为全面深化市场化改革、扩大高水平开放做好服务,全面深化市场|水平,-1
2,推动民营企业积极参与混合所有制经济，深度参与军民融合发展,民营企业|经济,-1
2,贯彻执行好降准政策，发挥存款准备金政策促进信贷结构优化的正向激励作用,政策|信贷,-1
2,（二）稳定实体经济的信贷供应,经济|信贷,-1
2,（三）拓展债券融资渠道,债券|渠道,-1
2,推动实现银行间市场发债总量稳步增长、品种创新继续突破,银行|市场,-1
2,（四）建设征信业务综合平台,业务|平台,-1
2,梳理政策、征管、服务等方面的问题，扎实开展调查研究，及时回应纳税人诉求,政策|纳税人,-1
2,落实小型微利企业普惠性所得税优惠政策,企业|优惠政策,-1
2,做好中小企业税收优惠政策的宣传工作，实现纳税人对税收优惠政策理解到位,中小企业税收优惠政策|纳税人,-1
2,认真落实取消税务证明事项的任务，继续精简纳税人办理相关涉税事项的资料，确保2019年底前对纳税人向税务机关报送的资料再精简25%以上,税务|纳税人,-1
2,（四）降低企业合规成本,企业|成本,-1
2,（五）创新税收征管制度,税收|制度,-1
2,二十、国家统计局福建调查总队,国家|福建,-1
2,进一步优化对基层信贷人员的考核激励方式，适当下调利润考核要求,信贷|方式,-1
2,二是落实授信尽职免责制度和容错纠错机制,制度|机制,-1
2,引导辖内银行持续完善服务小微企业的组织架构,银行|小微企业,-1
2,（四）深化联动协作，完善配套环境,深化|环境,-1
2,（一）持续推动优质中小企业首发上市或新三板挂牌,优质中小企业|上市,-1
2,推动优质的科技型企业申报科创板,优质|科技型企业申报,-1
3,为引导我省中小企业走“专精特新”发展道路，促进中小企业高质量发展，根据省政府,中小企业|专精特新,-1
3,企业上年度营业收入2000万元以上，上年度营业收入增速不低于15%或近两年平均增速不低于10%,企业|营业,-1
3,企业产品和服务美誉度高、性价比好、品质精良，在细分市场具有一定的比较优势,企业产品|细分,-1
3,企业研发投入占营业收入比重达2%以上,企业|营业,-1
3,属特殊行业的企业须提供特殊行业许可证或准入证明,企业|证明,-1
3,如申报企业数超过可推荐申报数量，相关设区市可采取专家评审等方式择优确定推荐申报名单,申报企业|设区,-1
4,附件：应收账款融资试点工作情况表,账款|试点工作,-1
4,中国人民银行福州中心支行,人民银行|中心,-1
4,应收账款融资试点工作情况表,账款|试点工作,-1
5,福建省工业和信息化厅,福建省|信息化,-1
5,一、示范基地要不断完善创业创新设施和环境，创新服务和运行模式，完善服务功能，提高服务能力，切实在小型微型企业创业创新载体建设中发挥示范带动作用,基地|创业,-1
5,厦门市可参照规定，给予厦门市软件园三期创新社区专项资金补助，所需资金由厦门市自行统筹,厦门市软件园|社区,-1
5,三、各地经信、财政部门要做好辖区内示范基地管理工作，及时跟踪了解运营情况（包括服务质量、服务收费、服务满意度等）并报送省工信厅、省财政厅,基地|财政厅,-1
5,未在此通知名单内2015年以前（含2015年）认定的示范基地，有效期至2018年底止,基地|有效期,-1
5,福建省工业和信息化厅,福建省|信息化,-1
6,各设区市经信委（经信局）、平潭综合实验区经发局，省属集团（控股）公司，有关行业协会：,市经|经信,-1
6,为推动我省智能制造发展，促进产业转型升级，推广应用智能制造新模式，在各地推荐的项目中，我厅组织编制了,智能|项目,-1
6,2018年第二批省级智能制造重点项目,智能|重点项目,-1
6,各地经信部门要做好项目协调、服务工作，推进项目实施，充分发挥项目社会效益和经济效益,经信|项目,-1
6,地方配套政策可对省级智能制造重点项目给予优先支持,智能|重点项目,-1
7,为促进我省氟化工产业绿色高效发展，经省政府同意，提出以下意见：,化工产业绿色|政府,-1
7,（一）优化氟化工产业布局，实现绿色发展,化工产业布局|绿色,-1
